SEASON	POS	MODEL	PRICED	MAE	BIAS
2023	WR	WR_RANK_SHAPE	25	11.16	1.32
2023	TE	WR_RANK_SHAPE	11	10.00	-8.91
2023	PK	WR_RANK_SHAPE	13	1.38	-1.38
2023	ALL	WR_RANK_SHAPE	83	8.31	-2.29
2023	QB	RANK_MEDIAN_RAW	15	7.67	
2023	RB	RANK_MEDIAN_RAW	19	7.13	
2023	WR	RANK_MEDIAN_RAW	25	11.10	
2023	TE	RANK_MEDIAN_RAW	11	9.32	
2023	PK	RANK_MEDIAN_RAW	13	1.23	
2023	ALL	RANK_MEDIAN_RAW	83	7.79	
2024	QB	VOR	14	7.86	3.57
2024	RB	VOR	23	13.48	-11.13
2024	WR	VOR	23	9.74	5.83
2024	TE	VOR	11	7.82	-0.73
2024	PK	VOR	9	0.44	0.00
2024	ALL	VOR	80	9.18	-1.00
2024	QB	EXPECTED_VOR	14	12.29	7.14
2024	RB	EXPECTED_VOR	23	11.39	-10.70
2024	WR	EXPECTED_VOR	23	11.52	5.09
2024	TE	EXPECTED_VOR	11	5.27	-0.36
2024	PK	EXPECTED_VOR	9	1.33	0.89
2024	ALL	EXPECTED_VOR	80	9.61	-0.31
2024	QB	POINTS	14	8.14	5.71
2024	RB	POINTS	23	13.22	-11.30
2024	WR	POINTS	23	9.22	5.22
2024	TE	POINTS	11	6.64	-1.00
2024	PK	POINTS	9	0.67	0.22
2024	ALL	POINTS	80	8.86	-0.86
2024	QB	BLEND_25	14	7.86	4.14
2024	RB	BLEND_25	23	12.65	-11.00
2024	WR	BLEND_25	23	8.39	5.61
2024	TE	BLEND_25	11	7.55	-1.18
2024	PK	BLEND_25	9	0.78	0.11
2024	ALL	BLEND_25	80	8.55	-0.98
2024	QB	BLEND_50	14	8.21	4.36
2024	RB	BLEND_50	23	12.00	-10.96
2024	WR	BLEND_50	23	7.74	5.57
2024	TE	BLEND_50	11	7.36	-1.73
2024	PK	BLEND_50	9	1.00	0.33
2024	ALL	BLEND_50	80	8.24	-0.99
2024	QB	BLEND_75	14	8.43	5.14
2024	RB	BLEND_75	23	11.96	-11.09
2024	WR	BLEND_75	23	7.52	5.52
2024	TE	BLEND_75	11	7.55	-2.09
2024	PK	BLEND_75	9	1.00	0.33
2024	ALL	BLEND_75	80	8.23	-0.95
2024	QB	POINTS_BLEND_25	14	8.14	5.71
2024	RB	POINTS_BLEND_25	23	12.35	-11.22
2024	WR	POINTS_BLEND_25	23	8.17	5.22
2024	TE	POINTS_BLEND_25	11	6.64	-1.73
2024	PK	POINTS_BLEND_25	9	0.67	0.00
2024	ALL	POINTS_BLEND_25	80	8.31	-0.96
2024	QB	POINTS_BLEND_50	14	8.57	5.57
2024	RB	POINTS_BLEND_50	23	12.17	-10.87
2024	WR	POINTS_BLEND_50	23	7.48	5.22
2024	TE	POINTS_BLEND_50	11	6.91	-2.18
2024	PK	POINTS_BLEND_50	9	1.00	0.33
2024	ALL	POINTS_BLEND_50	80	8.21	-0.91
2024	QB	POINTS_BLEND_75	14	8.71	5.71
2024	RB	POINTS_BLEND_75	23	11.96	-11.09
2024	WR	POINTS_BLEND_75	23	7.57	5.30
2024	TE	POINTS_BLEND_75	11	7.18	-2.45
2024	PK	POINTS_BLEND_75	9	1.00	0.33
2024	ALL	POINTS_BLEND_75	80	8.24	-0.96
2024	QB	RANK_SHAPE	14	8.71	5.86
2024	RB	RANK_SHAPE	23	12.52	-11.48
2024	WR	RANK_SHAPE	23	7.74	5.48
2024	TE	RANK_SHAPE	11	7.55	-2.64
2024	PK	RANK_SHAPE	9	1.44	0.78
2024	ALL	RANK_SHAPE	80	8.55	-0.98
2024	QB	RB_BLEND_50	14	7.79	2.79
2024	RB	RB_BLEND_50	23	11.83	-10.61
2024	WR	RB_BLEND_50	23	9.57	5.57
2024	TE	RB_BLEND_50	11	7.55	-1.00
2024	PK	RB_BLEND_50	9	0.56	-0.11
2024	ALL	RB_BLEND_50	80	8.61	-1.11
2024	QB	RB_RANK_SHAPE	14	7.79	2.79
2024	RB	RB_RANK_SHAPE	23	12.00	-10.70
2024	WR	RB_RANK_SHAPE	23	9.57	5.57
2024	TE	RB_RANK_SHAPE	11	7.55	-1.00
2024	PK	RB_RANK_SHAPE	9	0.56	-0.11
2024	ALL	RB_RANK_SHAPE	80	8.66	-1.14
2024	QB	WR_BLEND_50	14	7.86	3.57
2024	RB	WR_BLEND_50	23	13.52	-11.09
2024	WR	WR_BLEND_50	23	8.17	6.26
2024	TE	WR_BLEND_50	11	7.73	-0.64
2024	PK	WR_BLEND_50	9	0.44	0.00
2024	ALL	WR_BLEND_50	80	8.73	-0.85
2024	QB	WR_RANK_SHAPE	14	7.86	3.57
2024	RB	WR_RANK_SHAPE	23	13.52	-11.09
2024	WR	WR_RANK_SHAPE	23	8.48	6.57
2024	TE	WR_RANK_SHAPE	11	7.73	-0.64
2024	PK	WR_RANK_SHAPE	9	0.44	0.00
2024	ALL	WR_RANK_SHAPE	80	8.81	-0.76
2024	QB	RANK_MEDIAN_RAW	14	8.68	
2024	RB	RANK_MEDIAN_RAW	23	9.39	
2024	WR	RANK_MEDIAN_RAW	23	6.87	
2024	TE	RANK_MEDIAN_RAW	11	8.82	
2024	PK	RANK_MEDIAN_RAW	9	0.72	
2024	ALL	RANK_MEDIAN_RAW	80	7.49	
2025	QB	VOR	16	16.63	-15.25
2025	RB	VOR	20	6.70	-1.10
2025	WR	VOR	29	6.97	-0.14
2025	TE	VOR	11	6.27	0.82
2025	PK	VOR	8	0.63	0.63
2025	ALL	VOR	84	8.05	-3.05
2025	QB	EXPECTED_VOR	16	16.19	-15.06
2025	RB	EXPECTED_VOR	20	7.60	0.30
2025	WR	EXPECTED_VOR	29	9.90	-0.79
2025	TE	EXPECTED_VOR	11	11.55	3.36
2025	PK	EXPECTED_VOR	8	1.50	1.50
2025	ALL	EXPECTED_VOR	84	9.96	-2.49
2025	QB	POINTS	16	15.50	-14.13
2025	RB	POINTS	20	6.55	-1.05
2025	WR	POINTS	29	6.52	-0.86
2025	TE	POINTS	11	6.55	1.27
2025	PK	POINTS	8	0.75	0.50
2025	ALL	POINTS	84	7.69	-3.02
2025	QB	BLEND_25	16	16.69	-15.56
2025	RB	BLEND_25	20	5.55	-0.65
2025	WR	BLEND_25	29	6.03	-0.45
2025	TE	BLEND_25	11	6.45	1.55
2025	PK	BLEND_25	8	0.63	0.63
2025	ALL	BLEND_25	84	7.49	-3.01
2025	QB	BLEND_50	16	16.94	-15.94
2025	RB	BLEND_50	20	4.65	-0.15
2025	WR	BLEND_50	29	5.59	-0.55
2025	TE	BLEND_50	11	7.09	2.00
2025	PK	BLEND_50	8	1.00	1.00
2025	ALL	BLEND_50	84	7.29	-2.90
2025	QB	BLEND_75	16	16.94	-15.94
2025	RB	BLEND_75	20	5.10	-0.30
2025	WR	BLEND_75	29	5.31	-0.55
2025	TE	BLEND_75	11	7.73	2.64
2025	PK	BLEND_75	8	1.25	1.25
2025	ALL	BLEND_75	84	7.40	-2.83
2025	QB	POINTS_BLEND_25	16	16.00	-14.88
2025	RB	POINTS_BLEND_25	20	5.40	-0.50
2025	WR	POINTS_BLEND_25	29	5.79	-0.90
2025	TE	POINTS_BLEND_25	11	6.55	1.64
2025	PK	POINTS_BLEND_25	8	0.75	0.75
2025	ALL	POINTS_BLEND_25	84	7.26	-2.98
2025	QB	POINTS_BLEND_50	16	16.50	-15.50
2025	RB	POINTS_BLEND_50	20	4.80	0.00
2025	WR	POINTS_BLEND_50	29	5.31	-0.90
2025	TE	POINTS_BLEND_50	11	7.18	2.09
2025	PK	POINTS_BLEND_50	8	1.25	1.25
2025	ALL	POINTS_BLEND_50	84	7.18	-2.87
2025	QB	POINTS_BLEND_75	16	16.88	-16.00
2025	RB	POINTS_BLEND_75	20	4.90	-0.10
2025	WR	POINTS_BLEND_75	29	5.24	-0.69
2025	TE	POINTS_BLEND_75	11	7.73	2.64
2025	PK	POINTS_BLEND_75	8	1.25	1.25
2025	ALL	POINTS_BLEND_75	84	7.32	-2.85
2025	QB	RANK_SHAPE	16	17.06	-16.06
2025	RB	RANK_SHAPE	20	6.90	0.00
2025	WR	RANK_SHAPE	29	5.55	-0.38
2025	TE	RANK_SHAPE	11	8.18	2.73
2025	PK	RANK_SHAPE	8	1.25	1.25
2025	ALL	RANK_SHAPE	84	8.00	-2.71
2025	QB	RB_BLEND_50	16	17.00	-15.75
2025	RB	RB_BLEND_50	20	4.90	0.20
2025	WR	RB_BLEND_50	29	6.76	-0.69
2025	TE	RB_BLEND_50	11	6.18	0.73
2025	PK	RB_BLEND_50	8	0.63	0.63
2025	ALL	RB_BLEND_50	84	7.61	-3.04
2025	QB	RB_RANK_SHAPE	16	17.00	-15.75
2025	RB	RB_RANK_SHAPE	20	6.70	0.40
2025	WR	RB_RANK_SHAPE	29	6.72	-0.79
2025	TE	RB_RANK_SHAPE	11	6.27	0.64
2025	PK	RB_RANK_SHAPE	8	0.63	0.63
2025	ALL	RB_RANK_SHAPE	84	8.04	-3.04
2025	QB	WR_BLEND_50	16	16.63	-15.25
2025	RB	WR_BLEND_50	20	6.75	-1.15
2025	WR	WR_BLEND_50	29	5.79	0.07
2025	TE	WR_BLEND_50	11	6.27	0.82
2025	PK	WR_BLEND_50	8	0.63	0.63
2025	ALL	WR_BLEND_50	84	7.65	-2.99
2025	QB	WR_RANK_SHAPE	16	16.75	-15.38
2025	RB	WR_RANK_SHAPE	20	6.75	-1.15
2025	WR	WR_RANK_SHAPE	29	6.17	0.31
2025	TE	WR_RANK_SHAPE	11	6.27	0.82
2025	PK	WR_RANK_SHAPE	8	0.63	0.63
2025	ALL	WR_RANK_SHAPE	84	7.81	-2.93
2025	QB	RANK_MEDIAN_RAW	16	17.47	
2025	RB	RANK_MEDIAN_RAW	20	6.83	
2025	WR	RANK_MEDIAN_RAW	29	5.47	
2025	TE	RANK_MEDIAN_RAW	11	5.82	
2025	PK	RANK_MEDIAN_RAW	8	0.63	
2025	ALL	RANK_MEDIAN_RAW	84	7.66	
POOLED	ALL	BLEND_25	313	8.08	-2.16
POOLED	QB	BLEND_25	56	10.55	-3.38
POOLED	RB	BLEND_25	74	8.64	-3.58
POOLED	WR	BLEND_25	100	9.45	-1.45
POOLED	TE	BLEND_25	44	7.20	-1.39
POOLED	PK	BLEND_25	39	0.95	-0.38
POOLED	ALL	BLEND_50	313	7.98	-2.12
POOLED	QB	BLEND_50	56	10.73	-3.30
POOLED	RB	BLEND_50	74	8.16	-3.38
POOLED	WR	BLEND_50	100	9.20	-1.54
POOLED	TE	BLEND_50	44	7.50	-1.55
POOLED	PK	BLEND_50	39	1.08	-0.21
POOLED	ALL	BLEND_75	313	8.15	-2.05
POOLED	QB	BLEND_75	56	10.89	-3.04
POOLED	RB	BLEND_75	74	8.34	-3.36
POOLED	WR	BLEND_75	100	9.25	-1.55
POOLED	TE	BLEND_75	44	8.14	-1.50
POOLED	PK	BLEND_75	39	1.08	-0.05
POOLED	ALL	EXPECTED_VOR	313	10.22	-1.21
POOLED	QB	EXPECTED_VOR	56	13.64	-1.00
POOLED	RB	EXPECTED_VOR	74	10.23	-3.82
POOLED	WR	EXPECTED_VOR	100	12.92	-0.44
POOLED	TE	EXPECTED_VOR	44	7.70	-0.25
POOLED	PK	EXPECTED_VOR	39	1.23	0.36
POOLED	ALL	POINTS	313	8.15	-2.12
POOLED	QB	POINTS	56	10.39	-2.14
POOLED	RB	POINTS	74	8.86	-3.62
POOLED	WR	POINTS	100	9.68	-1.96
POOLED	TE	POINTS	44	6.98	-1.43
POOLED	PK	POINTS	39	0.97	-0.46
POOLED	ALL	POINTS_BLEND_25	313	7.98	-2.14
POOLED	QB	POINTS_BLEND_25	56	10.54	-2.39
POOLED	RB	POINTS_BLEND_25	74	8.47	-3.64
POOLED	WR	POINTS_BLEND_25	100	9.35	-1.81
POOLED	TE	POINTS_BLEND_25	44	7.02	-1.61
POOLED	PK	POINTS_BLEND_25	39	0.97	-0.36
POOLED	ALL	POINTS_BLEND_50	313	7.99	-2.08
POOLED	QB	POINTS_BLEND_50	56	10.88	-2.66
POOLED	RB	POINTS_BLEND_50	74	8.23	-3.34
POOLED	WR	POINTS_BLEND_50	100	9.10	-1.78
POOLED	TE	POINTS_BLEND_50	44	7.50	-1.68
POOLED	PK	POINTS_BLEND_50	39	1.08	-0.10
POOLED	ALL	POINTS_BLEND_75	313	8.14	-2.07
POOLED	QB	POINTS_BLEND_75	56	11.07	-2.86
POOLED	RB	POINTS_BLEND_75	74	8.23	-3.34
POOLED	WR	POINTS_BLEND_75	100	9.24	-1.68
POOLED	TE	POINTS_BLEND_75	44	8.07	-1.61
POOLED	PK	POINTS_BLEND_75	39	1.05	-0.08
POOLED	ALL	RANK_MEDIAN_RAW	313	8.05	
POOLED	QB	RANK_MEDIAN_RAW	56	12.36	
POOLED	RB	RANK_MEDIAN_RAW	74	7.70	
POOLED	WR	RANK_MEDIAN_RAW	100	8.66	
POOLED	TE	RANK_MEDIAN_RAW	44	8.10	
POOLED	PK	RANK_MEDIAN_RAW	39	0.90	
POOLED	ALL	RANK_SHAPE	313	8.50	-2.02
POOLED	QB	RANK_SHAPE	56	11.13	-2.88
POOLED	RB	RANK_SHAPE	74	8.70	-3.32
POOLED	WR	RANK_SHAPE	100	9.71	-1.55
POOLED	TE	RANK_SHAPE	44	8.57	-1.66
POOLED	PK	RANK_SHAPE	39	1.15	0.08
POOLED	ALL	RB_BLEND_50	313	8.29	-2.19
POOLED	QB	RB_BLEND_50	56	10.55	-3.80
POOLED	RB	RB_BLEND_50	74	8.50	-2.64
POOLED	WR	RB_BLEND_50	100	10.10	-1.56
POOLED	TE	RB_BLEND_50	44	7.48	-2.34
POOLED	PK	RB_BLEND_50	39	0.92	-0.51
POOLED	ALL	RB_RANK_SHAPE	313	8.36	-2.19
POOLED	QB	RB_RANK_SHAPE	56	10.57	-3.86
POOLED	RB	RB_RANK_SHAPE	74	8.80	-2.39
POOLED	WR	RB_RANK_SHAPE	100	10.06	-1.66
POOLED	TE	RB_RANK_SHAPE	44	7.52	-2.39
POOLED	PK	RB_RANK_SHAPE	39	0.92	-0.51
POOLED	ALL	VOR	313	8.65	-2.19
POOLED	QB	VOR	56	10.48	-3.45
POOLED	RB	VOR	74	9.96	-3.31
POOLED	WR	VOR	100	10.15	-1.29
POOLED	TE	VOR	44	7.59	-2.23
POOLED	PK	VOR	39	0.90	-0.49
POOLED	ALL	WR_BLEND_50	313	8.40	-2.11
POOLED	QB	WR_BLEND_50	56	10.50	-3.50
POOLED	RB	WR_BLEND_50	74	9.97	-3.35
POOLED	WR	WR_BLEND_50	100	9.32	-0.98
POOLED	TE	WR_BLEND_50	44	7.61	-2.25
POOLED	PK	WR_BLEND_50	39	0.90	-0.49
POOLED	ALL	WR_RANK_SHAPE	313	8.63	-2.04
POOLED	QB	WR_RANK_SHAPE	56	10.55	-3.55
POOLED	RB	WR_RANK_SHAPE	74	9.97	-3.35
POOLED	WR	WR_RANK_SHAPE	100	10.00	-0.74
POOLED	TE	WR_RANK_SHAPE	44	7.64	-2.27
POOLED	PK	WR_RANK_SHAPE	39	0.90	-0.49
POOLEDEX2022	ALL	BLEND_25	247	7.87	-2.16
POOLEDEX2022	QB	BLEND_25	45	10.69	-6.24
POOLEDEX2022	RB	BLEND_25	62	8.81	-4.45
POOLEDEX2022	WR	BLEND_25	77	8.12	1.65
POOLEDEX2022	TE	BLEND_25	33	8.00	-2.85
POOLEDEX2022	PK	BLEND_25	30	0.93	-0.33
POOLEDEX2022	ALL	BLEND_50	247	7.64	-2.11
POOLEDEX2022	QB	BLEND_50	45	10.87	-6.20
POOLEDEX2022	RB	BLEND_50	62	8.15	-4.31
POOLEDEX2022	WR	BLEND_50	77	7.64	1.64
POOLEDEX2022	TE	BLEND_50	33	8.24	-2.91
POOLEDEX2022	PK	BLEND_50	30	1.13	-0.13
POOLEDEX2022	ALL	BLEND_75	247	7.72	-2.02
POOLEDEX2022	QB	BLEND_75	45	11.00	-5.89
POOLEDEX2022	RB	BLEND_75	62	8.24	-4.40
POOLEDEX2022	WR	BLEND_75	77	7.56	1.66
POOLEDEX2022	TE	BLEND_75	33	8.61	-2.79
POOLEDEX2022	PK	BLEND_75	30	1.13	0.07
POOLEDEX2022	ALL	EXPECTED_VOR	247	10.15	-1.49
POOLEDEX2022	QB	EXPECTED_VOR	45	12.93	-4.58
POOLEDEX2022	RB	EXPECTED_VOR	62	10.37	-4.50
POOLEDEX2022	WR	EXPECTED_VOR	77	12.52	2.05
POOLEDEX2022	TE	EXPECTED_VOR	33	8.39	-1.55
POOLEDEX2022	PK	EXPECTED_VOR	30	1.33	0.33
POOLEDEX2022	ALL	POINTS	247	7.99	-2.10
POOLEDEX2022	QB	POINTS	45	10.31	-4.80
POOLEDEX2022	RB	POINTS	62	9.16	-4.45
POOLEDEX2022	WR	POINTS	77	8.53	1.03
POOLEDEX2022	TE	POINTS	33	7.73	-2.88
POOLEDEX2022	PK	POINTS	30	1.00	-0.33
POOLEDEX2022	ALL	POINTS_BLEND_25	247	7.71	-2.12
POOLEDEX2022	QB	POINTS_BLEND_25	45	10.49	-5.11
POOLEDEX2022	RB	POINTS_BLEND_25	62	8.60	-4.56
POOLEDEX2022	WR	POINTS_BLEND_25	77	7.96	1.29
POOLEDEX2022	TE	POINTS_BLEND_25	33	7.79	-3.06
POOLEDEX2022	PK	POINTS_BLEND_25	30	0.97	-0.30
POOLEDEX2022	ALL	POINTS_BLEND_50	247	7.62	-2.05
POOLEDEX2022	QB	POINTS_BLEND_50	45	10.91	-5.44
POOLEDEX2022	RB	POINTS_BLEND_50	62	8.23	-4.29
POOLEDEX2022	WR	POINTS_BLEND_50	77	7.52	1.36
POOLEDEX2022	TE	POINTS_BLEND_50	33	8.12	-3.03
POOLEDEX2022	PK	POINTS_BLEND_50	30	1.13	0.00
POOLEDEX2022	ALL	POINTS_BLEND_75	247	7.69	-2.04
POOLEDEX2022	QB	POINTS_BLEND_75	45	11.16	-5.69
POOLEDEX2022	RB	POINTS_BLEND_75	62	8.13	-4.39
POOLEDEX2022	WR	POINTS_BLEND_75	77	7.53	1.53
POOLEDEX2022	TE	POINTS_BLEND_75	33	8.48	-2.91
POOLEDEX2022	PK	POINTS_BLEND_75	30	1.10	0.03
POOLEDEX2022	ALL	RANK_MEDIAN_RAW	247	7.65	
POOLEDEX2022	QB	RANK_MEDIAN_RAW	45	11.47	
POOLEDEX2022	RB	RANK_MEDIAN_RAW	62	7.87	
POOLEDEX2022	WR	RANK_MEDIAN_RAW	77	7.71	
POOLEDEX2022	TE	RANK_MEDIAN_RAW	33	7.98	
POOLEDEX2022	PK	RANK_MEDIAN_RAW	30	0.92	
POOLEDEX2022	ALL	RANK_SHAPE	247	8.12	-1.99
