ROUND	PICK	PLAYER	TEAM	OWNER	KEEPER
3	11	Tyler Lockett	AC X 2	andrew	
3	12	Robert Woods	Beantown	brett-p	
3	13	Diontae Johnson	The YoungHoes	dylan	
3	14	Kyler Murray	Reek-A-Leek	christian-k	
4	1	Mark Andrews	Reek-A-Leek	christian-k	
4	2	Kyle Pitts Sr.	The YoungHoes	dylan	
4	3	Chase Edmonds	Beantown	brett-p	
4	4	DJ Moore	AC X 2	andrew	
4	5	Raheem Mostert	2013 Donkey Ass	leonard-j	
4	6	Lamar Jackson	Lamar You Not Entertained?	rich	
4	7	Damien Harris	Brady’s Bitch	heather	
4	8	Julio Jones	Mr. Rodgers Neighborhood	bryan	
4	9	Brandon Aiyuk	Fuck Dean Spanos	mark	
4	10	Adam Thielen	Draven McQueen	tony	
4	11	Russell Wilson	ENTER THE WOOPOUND	fabio	
4	12	Tee Higgins	Minnesota Frostbite	brett-b	
4	13	Jerry Jeudy	Freakz of Nature	romel	
4	14	Kareem Hunt	Good But Not Great	tim	
5	1	Dak Prescott	Good But Not Great	tim	
5	2	Logan Thomas	Freakz of Nature	romel	
5	3	Odell Beckham Jr.	Minnesota Frostbite	brett-b	
5	4	Trey Sermon	ENTER THE WOOPOUND	fabio	
5	5	Javonte Williams	Draven McQueen	tony	
5	6	Chase Claypool	Fuck Dean Spanos	mark	
5	7	Aaron Rodgers	Mr. Rodgers Neighborhood	bryan	
5	8	Robbie Chosen	Brady’s Bitch	heather	
5	9	Robert Tonyan	Lamar You Not Entertained?	rich	
5	10	Deebo Samuel Sr.	2013 Donkey Ass	leonard-j	
5	11	Melvin Gordon III	AC X 2	andrew	
5	12	Ronald Jones	Beantown	brett-p	
5	13	Justin Herbert	The YoungHoes	dylan	
5	14	Courtland Sutton	Reek-A-Leek	christian-k	
6	1	JuJu Smith-Schuster	Reek-A-Leek	christian-k	
6	2	Antonio Brown	The YoungHoes	dylan	
6	3	AJ Dillon	Beantown	brett-p	
6	4	Tyler Higbee	AC X 2	andrew	
6	5	Nyheim Miller-Hines	2013 Donkey Ass	leonard-j	
6	6	Tyler Boyd	Lamar You Not Entertained?	rich	
6	7	Gus Edwards	Brady’s Bitch	heather	
6	8	Ja'Marr Chase	Mr. Rodgers Neighborhood	bryan	
6	9	Leonard Fournette	Fuck Dean Spanos	mark	
6	10	Michael Carter	Draven McQueen	tony	
6	11	Kenny Golladay	ENTER THE WOOPOUND	fabio	
6	12	Brandin Cooks	Minnesota Frostbite	brett-b	
6	13	Corey Davis	Freakz of Nature	romel	
6	14	DeVonta Smith	Good But Not Great	tim	
7	1	Michael Thomas	Good But Not Great	tim	
7	2	Zack Moss	Freakz of Nature	romel	
7	3	Noah Fant	Minnesota Frostbite	brett-b	
7	4	James Conner	ENTER THE WOOPOUND	fabio	
7	5	DJ Chark	Draven McQueen	tony	
7	6	Jalen Hurts	Fuck Dean Spanos	mark	
7	7	Dallas Goedert	Mr. Rodgers Neighborhood	bryan	
7	8	Irv Smith Jr.	Brady’s Bitch	heather	
7	9	Buccaneers	Lamar You Not Entertained?	rich	
7	10	Jaylen Waddle	2013 Donkey Ass	leonard-j	
7	11	Ryan Tannehill	AC X 2	andrew	
7	12	Devin Singletary	Beantown	brett-p	
7	13	Laviska Shenault Jr.	The YoungHoes	dylan	
7	14	Sony Michel	Reek-A-Leek	christian-k	
8	1	Antonio Gibson	Reek-A-Leek	christian-k	Y
8	2	Justin Jefferson	The YoungHoes	dylan	Y
8	3	Matthew Stafford	Beantown	brett-p	Y
8	4	Rams	AC X 2	andrew	
8	5	CeeDee Lamb	2013 Donkey Ass	leonard-j	Y
8	6	Myles Gaskin	Lamar You Not Entertained?	rich	Y
8	7	Tom Brady	Brady’s Bitch	heather	Y
8	8	Mike Davis	Mr. Rodgers Neighborhood	bryan	Y
8	9	Commanders	Fuck Dean Spanos	mark	
8	10	Josh Allen	Draven McQueen	tony	Y
8	11	Mike Gesicki	ENTER THE WOOPOUND	fabio	
8	12	Darrell Henderson Jr.	Minnesota Frostbite	brett-b	Y
8	13	Jamaal Williams	Freakz of Nature	romel	
8	14	T.J. Hockenson	Good But Not Great	tim	Y
9	1	Tony Pollard	Good But Not Great	tim	
9	2	Steelers	Freakz of Nature	romel	
9	3	Will Fuller V	Minnesota Frostbite	brett-b	
9	4	Darnell Mooney	ENTER THE WOOPOUND	fabio	
9	5	Curtis Samuel	Draven McQueen	tony	
9	6	Justin Tucker	Fuck Dean Spanos	mark	
9	7	Jarvis Landry	Mr. Rodgers Neighborhood	bryan	
9	8	Mike Williams	Brady’s Bitch	heather	
9	9	Sterling Shepard	Lamar You Not Entertained?	rich	
9	10	Jameis Winston	2013 Donkey Ass	leonard-j	
9	11	Harrison Butker	AC X 2	andrew	
9	12	Jonnu Smith	Beantown	brett-p	
9	13	Younghoe Koo	The YoungHoes	dylan	
9	14	Marquez Callaway	Reek-A-Leek	christian-k	
10	1	Jakobi Meyers	Reek-A-Leek	christian-k	
10	2	Marvin Jones Jr.	The YoungHoes	dylan	
10	3	Michael Pittman Jr.	Beantown	brett-p	
10	4	Michael Gallup	AC X 2	andrew	
10	5	Jamison Crowder	2013 Donkey Ass	leonard-j	
10	6	Mecole Hardman Jr.	Lamar You Not Entertained?	rich	
10	7	Gerald Everett	Brady’s Bitch	heather	
10	8	Joe Burrow	Mr. Rodgers Neighborhood	bryan	
10	9	Kenyan Drake	Fuck Dean Spanos	mark	
10	10	David Johnson	Draven McQueen	tony	
10	11	Hollywood Brown	ENTER THE WOOPOUND	fabio	
10	12	Matt Ryan	Minnesota Frostbite	brett-b	
10	13	Phillip Lindsay	Freakz of Nature	romel	
10	14	Giovani Bernard	Good But Not Great	tim	
11	1	Trey Lance	Good But Not Great	tim	
11	2	Elijah Moore	Freakz of Nature	romel	
11	3	Trevor Lawrence	Minnesota Frostbite	brett-b	
11	4	J.D. McKissic	ENTER THE WOOPOUND	fabio	
11	5	Justin Fields	Draven McQueen	tony	
11	6	Kirk Cousins	Fuck Dean Spanos	mark	
11	7	Alexander Mattison	Mr. Rodgers Neighborhood	bryan	
11	8	Henry Ruggs III	Brady’s Bitch	heather	
11	9	Browns	Lamar You Not Entertained?	rich	
11	10	Baker Mayfield	2013 Donkey Ass	leonard-j	
11	11	Ryan Fitzpatrick	AC X 2	andrew	
11	12	Evan Engram	Beantown	brett-p	
11	13	Russell Gage Jr.	The YoungHoes	dylan	
11	14	Marlon Mack	Reek-A-Leek	christian-k	
12	1	Jared Cook	Reek-A-Leek	christian-k	
12	2	Rhamondre Stevenson	The YoungHoes	dylan	
12	3	Carson Wentz	Beantown	brett-p	
12	4	Cole Kmet	AC X 2	andrew	
12	5	Tevin Coleman	2013 Donkey Ass	leonard-j	
12	6	Malcolm Brown	Lamar You Not Entertained?	rich	
12	7	James White	Brady’s Bitch	heather	
12	8	Hunter Henry	Mr. Rodgers Neighborhood	bryan	
12	9	Austin Hooper	Fuck Dean Spanos	mark	
12	10	Ravens	Draven McQueen	tony	
12	11	DeVante Parker	ENTER THE WOOPOUND	fabio	
12	12	Rob Gronkowski	Minnesota Frostbite	brett-b	
12	13	Carlos Hyde	Freakz of Nature	romel	
12	14	Rondale Moore	Good But Not Great	tim	
13	1	Chuba Hubbard	Good But Not Great	tim	
13	2	Greg Zuerlein	Freakz of Nature	romel	
13	3	Rashaad Penny	Minnesota Frostbite	brett-b	
13	4	Bills	ENTER THE WOOPOUND	fabio	
13	5	Kenny Gainwell	Draven McQueen	tony	
13	6	49ers	Fuck Dean Spanos	mark	
13	7	Tyler Bass	Mr. Rodgers Neighborhood	bryan	
13	8	Tua Tagovailoa	Brady’s Bitch	heather	
13	9	Marquez Valdes-Scantling	Lamar You Not Entertained?	rich	
13	10	Matt Gay	2013 Donkey Ass	leonard-j	
13	11	Cole Beasley	AC X 2	andrew	
13	12	Patriots	Beantown	brett-p	
13	13	Chiefs	The YoungHoes	dylan	
13	14	Rodrigo Blankenship	Reek-A-Leek	christian-k	
14	1	Colts	Reek-A-Leek	christian-k	
14	2	Amon-Ra St. Brown	The YoungHoes	dylan	
14	3	Jalen Reagor	Beantown	brett-p	
14	4	Latavius Murray	AC X 2	andrew	
14	5	Randall Cobb	2013 Donkey Ass	leonard-j	
14	6	Daniel Jones	Lamar You Not Entertained?	rich	
14	7	Daniel Carlson	Brady’s Bitch	heather	
14	8	T.Y. Hilton	Mr. Rodgers Neighborhood	bryan	
14	9	Darrel Williams	Fuck Dean Spanos	mark	
14	10	Blake Jarwin	Draven McQueen	tony	
14	11	Robbie Gould	ENTER THE WOOPOUND	fabio	
14	12	Saints	Minnesota Frostbite	brett-b	
14	13	Ben Roethlisberger	Freakz of Nature	romel	
14	14	Bryan Edwards	Good But Not Great	tim	
15	1	Jason Sanders	Good But Not Great	tim	
15	2	Anthony Firkser	Freakz of Nature	romel	
15	3	Emmanuel Sanders	Minnesota Frostbite	brett-b	
15	4	Boston Scott	ENTER THE WOOPOUND	fabio	
15	5	Tre'Quan Smith	Draven McQueen	tony	
15	6	Nelson Agholor	Fuck Dean Spanos	mark	
15	7	Broncos	Mr. Rodgers Neighborhood	bryan	
15	8	Vikings	Brady’s Bitch	heather	
15	9	Nick Folk	Lamar You Not Entertained?	rich	
15	10	Seahawks	2013 Donkey Ass	leonard-j	
15	11	Chargers	AC X 2	andrew	
15	12	Michael Badgley	Beantown	brett-p	
15	13	Salvon Ahmed	The YoungHoes	dylan	
15	14	Kadarius Toney	Reek-A-Leek	christian-k	
