ROUND	PICK	PLAYER	TEAM	OWNER	KEEPER
3	14	Terry McLaurin	GraveDigger	christian-k	
4	1	Darren Waller	GraveDigger	christian-k	
4	2	Amon-Ra St. Brown	Amon Us	dylan	
4	3	Allen Robinson	Draven McQueen	tony	
4	4	Justin Herbert	Freakz of Nature	romel	
4	5	T.J. Hockenson	Darth Rico	rich	
4	6	Brandin Cooks	Good But Not Great	tim	
4	7	Chase Edmonds	ENTER THE WOOPOUND	fabio	
4	8	Jaylen Waddle	AC X 2	andrew	
4	9	Adam Thielen	Brady’s Bitch	heather	
4	10	George Kittle	Beantown	brett-p	
4	11	Lamar Jackson	2013 Donkey Ass	leonard-j	
4	12	J.K. Dobbins	The Eks Factor	bryan	
4	13	DK Metcalf	Fuck Dean Spanos	mark	
4	14	David Montgomery	Minnesota Frostbite	brett-b	
5	1	JuJu Smith-Schuster	Minnesota Frostbite	brett-b	
5	2	Patrick Mahomes	Fuck Dean Spanos	mark	
5	3	Michael Thomas	The Eks Factor	bryan	
5	4	Josh Jacobs	2013 Donkey Ass	leonard-j	
5	5	Matthew Stafford	Beantown	brett-p	
5	6	Gabe Davis	Brady’s Bitch	heather	
5	7	Dalton Schultz	AC X 2	andrew	
5	8	Rashod Bateman	ENTER THE WOOPOUND	fabio	
5	9	Jalen Hurts	Good But Not Great	tim	
5	10	Kyler Murray	Darth Rico	rich	
5	11	Clyde Edwards-Helaire	Freakz of Nature	romel	
5	12	Joe Burrow	Draven McQueen	tony	
5	13	Chris Godwin Jr.	Amon Us	dylan	
5	14	Devin Singletary	GraveDigger	christian-k	
6	1	Russell Wilson	GraveDigger	christian-k	
6	2	Antonio Gibson	Amon Us	dylan	
6	3	Christian Kirk	Draven McQueen	tony	
6	4	Dallas Goedert	Freakz of Nature	romel	
6	5	Amari Cooper	Darth Rico	rich	
6	6	Tony Pollard	Good But Not Great	tim	
6	7	Trey Lance	ENTER THE WOOPOUND	fabio	
6	8	Damien Harris	AC X 2	andrew	
6	9	Melvin Gordon III	Brady’s Bitch	heather	
6	10	Hunter Renfrow	Beantown	brett-p	
6	11	Miles Sanders	2013 Donkey Ass	leonard-j	
6	12	Hollywood Brown	The Eks Factor	bryan	
6	13	Rhamondre Stevenson	Fuck Dean Spanos	mark	
6	14	Kareem Hunt	Minnesota Frostbite	brett-b	
7	1	Darnell Mooney	Minnesota Frostbite	brett-b	
7	2	Bills	Fuck Dean Spanos	mark	
7	3	Dawson Knox	The Eks Factor	bryan	
7	4	Drake London	2013 Donkey Ass	leonard-j	
7	5	Nyheim Miller-Hines	Beantown	brett-p	
7	6	DeVonta Smith	Brady’s Bitch	heather	
7	7	Dak Prescott	AC X 2	andrew	
7	8	Cole Kmet	ENTER THE WOOPOUND	fabio	
7	9	Brandon Aiyuk	Good But Not Great	tim	
7	10	Kadarius Toney	Darth Rico	rich	
7	11	DeAndre Hopkins	Freakz of Nature	romel	
7	12	Allen Lazard	Draven McQueen	tony	
7	13	Chris Olave	Amon Us	dylan	
7	14	Robert Woods	GraveDigger	christian-k	
8	1	Rashaad Penny	GraveDigger	christian-k	Y
8	2	Darrell Henderson Jr.	Amon Us	dylan	
8	3	Cordarrelle Patterson	Draven McQueen	tony	Y
8	4	Elijah Moore	Freakz of Nature	romel	Y
8	5	Elijah Mitchell	Darth Rico	rich	Y
8	6	Travis Etienne Jr.	Good But Not Great	tim	Y
8	7	49ers	ENTER THE WOOPOUND	fabio	
8	8	Buccaneers	AC X 2	andrew	
8	9	Mike Williams	Brady’s Bitch	heather	Y
8	10	AJ Dillon	Beantown	brett-p	Y
8	11	George Pickens	2013 Donkey Ass	leonard-j	
8	12	Kenneth Walker III	The Eks Factor	bryan	
8	13	Leonard Fournette	Fuck Dean Spanos	mark	Y
8	14	Zach Ertz	Minnesota Frostbite	brett-b	
9	1	Aaron Rodgers	Minnesota Frostbite	brett-b	
9	2	Justin Tucker	Fuck Dean Spanos	mark	
9	3	Tyler Lockett	The Eks Factor	bryan	
9	4	Marquez Valdes-Scantling	2013 Donkey Ass	leonard-j	
9	5	DeVante Parker	Beantown	brett-p	
9	6	Ameer Abdullah	Brady’s Bitch	heather	
9	7	Evan McPherson	AC X 2	andrew	
9	8	Daniel Carlson	ENTER THE WOOPOUND	fabio	
9	9	Michael Carter	Good But Not Great	tim	
9	10	Raheem Mostert	Darth Rico	rich	
9	11	James Cook III	Freakz of Nature	romel	
9	12	Irv Smith Jr.	Draven McQueen	tony	
9	13	Kirk Cousins	Amon Us	dylan	
9	14	Kenny Gainwell	GraveDigger	christian-k	
10	1	Joshua Palmer	GraveDigger	christian-k	
10	2	Skyy Moore	Amon Us	dylan	
10	3	Pat Freiermuth	Draven McQueen	tony	
10	4	Brian Robinson	Freakz of Nature	romel	
10	5	Jameis Winston	Darth Rico	rich	
10	6	David Njoku	Good But Not Great	tim	
10	7	Derek Carr	ENTER THE WOOPOUND	fabio	
10	8	Trevor Lawrence	AC X 2	andrew	
10	9	Dolphins	Brady’s Bitch	heather	
10	10	Rams	Beantown	brett-p	
10	11	Treylon Burks	2013 Donkey Ass	leonard-j	
10	12	Chase Claypool	The Eks Factor	bryan	
10	13	Russell Gage Jr.	Fuck Dean Spanos	mark	
10	14	Alexander Mattison	Minnesota Frostbite	brett-b	
11	1	James Robinson	Minnesota Frostbite	brett-b	
11	2	Justin Fields	Fuck Dean Spanos	mark	
11	3	Rachaad White	The Eks Factor	bryan	
11	4	Tyler Higbee	2013 Donkey Ass	leonard-j	
11	5	Mark Ingram II	Beantown	brett-p	
11	6	Khalil Herbert	Brady’s Bitch	heather	
11	7	Jamaal Williams	AC X 2	andrew	
11	8	Jakobi Meyers	ENTER THE WOOPOUND	fabio	
11	9	Garrett Wilson	Good But Not Great	tim	
11	10	Ravens	Darth Rico	rich	
11	11	Colts	Freakz of Nature	romel	
11	12	Tua Tagovailoa	Draven McQueen	tony	
11	13	Isiah Pacheco	Amon Us	dylan	
11	14	Michael Gallup	GraveDigger	christian-k	
12	1	Nico Collins	GraveDigger	christian-k	
12	2	Matt Ryan	Amon Us	dylan	
12	3	Julio Jones	Draven McQueen	tony	
12	4	Tyler Allgeier	Freakz of Nature	romel	
12	5	Joshua Kelley	Darth Rico	rich	
12	6	Isaiah McKenzie	Good But Not Great	tim	
12	7	Tyler Boyd	ENTER THE WOOPOUND	fabio	
12	8	Hunter Henry	AC X 2	andrew	
12	9	Jahan Dotson	Brady’s Bitch	heather	
12	10	DJ Chark	Beantown	brett-p	
12	11	Daniel Jones	2013 Donkey Ass	leonard-j	
12	12	Cowboys	The Eks Factor	bryan	
12	13	Austin Hooper	Fuck Dean Spanos	mark	
12	14	Ryan Tannehill	Minnesota Frostbite	brett-b	
13	1	J.D. McKissic	Minnesota Frostbite	brett-b	
13	2	Jarvis Landry	Fuck Dean Spanos	mark	
13	3	Mike Gesicki	The Eks Factor	bryan	
13	4	Matt Gay	2013 Donkey Ass	leonard-j	
13	5	Tyler Bass	Beantown	brett-p	
13	6	Gerald Everett	Brady’s Bitch	heather	
13	7	Rondale Moore	AC X 2	andrew	
13	8	Evan Engram	ENTER THE WOOPOUND	fabio	
13	9	Zamir White	Good But Not Great	tim	
13	10	Zay Jones	Darth Rico	rich	
13	11	Albert Okwuegbunam Jr.	Freakz of Nature	romel	
13	12	Kenyan Drake	Draven McQueen	tony	
13	13	Romeo Doubs	Amon Us	dylan	
13	14	Robert Tonyan	GraveDigger	christian-k	
14	1	Harrison Butker	GraveDigger	christian-k	
14	2	Broncos	Amon Us	dylan	
14	3	Patriots	Draven McQueen	tony	
14	4	Mac Jones	Freakz of Nature	romel	
14	5	Brandon McManus	Darth Rico	rich	
14	6	Jameson Williams	Good But Not Great	tim	
14	7	Jeff Wilson Jr.	ENTER THE WOOPOUND	fabio	
14	8	Packers	AC X 2	andrew	
14	9	Nick Folk	Brady’s Bitch	heather	
14	10	Logan Thomas	Beantown	brett-p	
14	11	Chargers	2013 Donkey Ass	leonard-j	
14	12	Eno Benjamin	The Eks Factor	bryan	
14	13	D'Onta Foreman	Fuck Dean Spanos	mark	
14	14	Saints	Minnesota Frostbite	brett-b	
15	1	Noah Fant	Minnesota Frostbite	brett-b	
15	2	Chiefs	Fuck Dean Spanos	mark	
15	3	Robbie Gould	The Eks Factor	bryan	
15	4	Dontrell Hilliard	2013 Donkey Ass	leonard-j	
15	5	Davis Mills	Beantown	brett-p	
15	6	Curtis Samuel	Brady’s Bitch	heather	
15	7	Samaje Perine	AC X 2	andrew	
15	8	Eagles	ENTER THE WOOPOUND	fabio	
15	9	Isaiah Likely	Good But Not Great	tim	
15	10	Devin Duvernay	Darth Rico	rich	
15	11	Jalen Tolbert	Freakz of Nature	romel	
15	12	Alec Pierce	Draven McQueen	tony	
15	13	Greg Joseph	Amon Us	dylan	
15	14	Steelers	GraveDigger	christian-k	
