ROUND	PICK	PLAYER	TEAM	OWNER	KEEPER
8	9	Cole Kmet	Beantown	brett-p	
8	10	Amari Cooper	Darth Rico	rich	Y
8	11	Justin Fields	God-Zilla	christian-k	Y
8	12	Chig Okonkwo	Minnesota Frostbite	brett-b	
8	13	Drake London	2013 Donkey Ass	leonard-j	Y
8	14	Bills	AC X 2	andrew	
9	1	Justin Tucker	AC X 2	andrew	
9	2	Tyler Higbee	2013 Donkey Ass	leonard-j	
9	3	Dak Prescott	Minnesota Frostbite	brett-b	
9	4	Brandin Cooks	God-Zilla	christian-k	
9	5	Tyler Boyd	Darth Rico	rich	
9	6	Aaron Rodgers	Beantown	brett-p	
9	7	Rashod Bateman	ENTER THE WOOPOUND	fabio	
9	8	Daniel Carlson	Brady’s Bitch	heather	
9	9	Treylon Burks	Good But Not Great	tim	
9	10	Jerick McKinnon	Draven McQueen	tony	
9	11	Nico Collins	Amon Us	dylan	
9	12	Skyy Moore	Freakz of Nature	romel	
9	13	Jaylen Warren	Puka Doncic	bryan	
9	14	Tyler Bass	Fuck Dean Spanos	mark	
10	1	Elijah Moore	Fuck Dean Spanos	mark	
10	2	JuJu Smith-Schuster	Puka Doncic	bryan	
10	3	Jets	Freakz of Nature	romel	
10	4	Dalton Kincaid	Amon Us	dylan	
10	5	Allen Lazard	Draven McQueen	tony	
10	6	De'Von Achane	Good But Not Great	tim	
10	7	Tyler Allgeier	Brady’s Bitch	heather	
10	8	Elijah Mitchell	ENTER THE WOOPOUND	fabio	
10	9	Dolphins	Beantown	brett-p	
10	10	Kirk Cousins	Darth Rico	rich	
10	11	Tank Bigsby	God-Zilla	christian-k	
10	12	Damien Harris	Minnesota Frostbite	brett-b	
10	13	Kendre Miller	2013 Donkey Ass	leonard-j	
10	14	Jeff Wilson Jr.	AC X 2	andrew	
11	1	Marvin Mims Jr.	AC X 2	andrew	
11	2	Jared Goff	2013 Donkey Ass	leonard-j	
11	3	Ezekiel Elliott	Minnesota Frostbite	brett-b	
11	4	Adam Thielen	God-Zilla	christian-k	
11	5	Zay Jones	Darth Rico	rich	
11	6	Odell Beckham Jr.	Beantown	brett-p	
11	7	Jake Ferguson	ENTER THE WOOPOUND	fabio	
11	8	Jakobi Meyers	Brady’s Bitch	heather	
11	9	Quentin Johnston	Good But Not Great	tim	
11	10	Bryce Young	Draven McQueen	tony	
11	11	Jonathan Mingo	Amon Us	dylan	
11	12	Evan McPherson	Freakz of Nature	romel	
11	13	D'Onta Foreman	Puka Doncic	bryan	
11	14	Sam LaPorta	Fuck Dean Spanos	mark	
12	1	Michael Gallup	Fuck Dean Spanos	mark	
12	2	Harrison Butker	Puka Doncic	bryan	
12	3	Tyjae Spears	Freakz of Nature	romel	
12	4	Gus Edwards	Amon Us	dylan	
12	5	Ty Chandler	Draven McQueen	tony	
12	6	Roschon Johnson	Good But Not Great	tim	
12	7	Brock Purdy	Brady’s Bitch	heather	
12	8	Romeo Doubs	ENTER THE WOOPOUND	fabio	
12	9	Rashee Rice	Beantown	brett-p	
12	10	Michael Carter	Darth Rico	rich	
12	11	Rashid Shaheed	God-Zilla	christian-k	
12	12	Dalton Schultz	Minnesota Frostbite	brett-b	
12	13	Younghoe Koo	2013 Donkey Ass	leonard-j	
12	14	Gerald Everett	AC X 2	andrew	
13	1	Russell Wilson	AC X 2	andrew	
13	2	Broncos	2013 Donkey Ass	leonard-j	
13	3	Darnell Mooney	Minnesota Frostbite	brett-b	
13	4	Hunter Henry	God-Zilla	christian-k	
13	5	Jason Sanders	Darth Rico	rich	
13	6	Greg Dulcich	Beantown	brett-p	
13	7	Patriots	ENTER THE WOOPOUND	fabio	
13	8	Juwan Johnson	Brady’s Bitch	heather	
13	9	Luke Musgrave	Good But Not Great	tim	
13	10	Rondale Moore	Draven McQueen	tony	
13	11	Cameron Dicker	Amon Us	dylan	
13	12	Kenny Pickett	Freakz of Nature	romel	
13	13	Kyler Murray	Puka Doncic	bryan	
13	14	Clyde Edwards-Helaire	Fuck Dean Spanos	mark	
14	1	Sam Howell	Fuck Dean Spanos	mark	
14	2	Steelers	Puka Doncic	bryan	
14	3	DJ Chark	Freakz of Nature	romel	
14	4	Jimmy Garoppolo	Amon Us	dylan	
14	5	Ravens	Draven McQueen	tony	
14	6	Saints	Good But Not Great	tim	
14	7	Chuba Hubbard	Brady’s Bitch	heather	
14	8	Jake Elliott	ENTER THE WOOPOUND	fabio	
14	9	Deon Jackson	Beantown	brett-p	
14	10	Chase Brown	Darth Rico	rich	
14	11	Riley Patterson	God-Zilla	christian-k	
14	12	Derek Carr	Minnesota Frostbite	brett-b	
14	13	Van Jefferson	2013 Donkey Ass	leonard-j	
14	14	Devin Singletary	AC X 2	andrew	
15	1	Bengals	AC X 2	andrew	
15	2	Kadarius Toney	2013 Donkey Ass	leonard-j	
15	3	Chiefs	Minnesota Frostbite	brett-b	
15	4	Packers	God-Zilla	christian-k	
15	5	Irv Smith Jr.	Darth Rico	rich	
15	6	Brandon McManus	Beantown	brett-p	
15	7	Kareem Hunt	ENTER THE WOOPOUND	fabio	
15	8	Commanders	Brady’s Bitch	heather	
15	9	Graham Gano	Good But Not Great	tim	
15	10	Jason Myers	Draven McQueen	tony	
15	11	Alec Pierce	Amon Us	dylan	
15	12	Jordan Love	Freakz of Nature	romel	
15	13	Jalin Hyatt	Puka Doncic	bryan	
15	14	Buccaneers	Fuck Dean Spanos	mark	
