ROUND	PICK	PLAYER	TEAM	OWNER	KEEPER
5	13	Ricky Pearsall	Freakz of Nature	romel	
5	14	Rome Odunze	Turd Ferguson	mark	
6	1	Emeka Egbuka	Turd Ferguson	mark	
6	2	Tyler Warren	Freakz of Nature	romel	
6	3	Jaylen Warren	Darth Rico	rich	
6	4	Matthew Golden	Draven McQueen	tony	
6	5	Mark Andrews	Minnesota Frostbite	brett-b	
6	6	Jordan Mason	Good But Not Great	tim	
6	7	Kaleb Johnson	What the Hali	bryan	
6	8	Braelon Allen	AC X 2	andrew	
6	9	David Njoku	Brady’s Bitch	heather	
6	10	Chris Olave	K-Pop Rice Hunters	christian-k	
6	11	Tucker Kraft	Bijan Mustard	dylan	
6	12	Kyle Pitts Sr.	Beantown	brett-p	
6	13	Brock Purdy	Brady's Bambino	nathan	
6	14	Dak Prescott	2013 Donkey Ass	leonard-j	
7	1	Stefon Diggs	2013 Donkey Ass	leonard-j	
7	2	J.K. Dobbins	Brady's Bambino	nathan	
7	3	Michael Pittman Jr.	Beantown	brett-p	
7	4	Jacory Croskey-Merritt	Bijan Mustard	dylan	
7	5	Evan Engram	K-Pop Rice Hunters	christian-k	
7	6	Keon Coleman	Brady’s Bitch	heather	
7	7	Tank Bigsby	AC X 2	andrew	
7	8	Jerry Jeudy	What the Hali	bryan	
7	9	Zach Charbonnet	Good But Not Great	tim	
7	10	Jakobi Meyers	Minnesota Frostbite	brett-b	
7	11	Jauan Jennings	Draven McQueen	tony	
7	12	Cooper Kupp	Darth Rico	rich	
7	13	Travis Etienne Jr.	Freakz of Nature	romel	
7	14	Drake Maye	Turd Ferguson	mark	
8	1	Bhayshul Tuten	Turd Ferguson	mark	
8	2	Tyrone Tracy Jr.	Freakz of Nature	romel	Y
8	3	Chase Brown	Darth Rico	rich	Y
8	4	Baker Mayfield	Draven McQueen	tony	Y
8	5	Jaxon Smith-Njigba	Minnesota Frostbite	brett-b	Y
8	6	Chuba Hubbard	Good But Not Great	tim	Y
8	7	Brian Thomas Jr.	What the Hali	bryan	Y
8	8	Jordan Addison	AC X 2	andrew	
8	9	Khalil Shakir	Brady’s Bitch	heather	
8	10	Rhamondre Stevenson	K-Pop Rice Hunters	christian-k	
8	11	Justin Herbert	Bijan Mustard	dylan	
8	12	Chris Godwin Jr.	Beantown	brett-p	
8	13	Jayden Reed	Brady's Bambino	nathan	
8	14	Ladd McConkey	2013 Donkey Ass	leonard-j	Y
9	1	Javonte Williams	2013 Donkey Ass	leonard-j	
9	2	Josh Downs	Brady's Bambino	nathan	
9	3	Joe Mixon	Beantown	brett-p	
9	4	Nick Chubb	Bijan Mustard	dylan	
9	5	Brian Robinson	K-Pop Rice Hunters	christian-k	
9	6	Justin Fields	Brady’s Bitch	heather	
9	7	Caleb Williams	AC X 2	andrew	
9	8	Jared Goff	What the Hali	bryan	
9	9	Colston Loveland	Good But Not Great	tim	
9	10	Jordan Love	Minnesota Frostbite	brett-b	
9	11	Dalton Kincaid	Draven McQueen	tony	
9	12	Sam Darnold	Darth Rico	rich	
9	13	Broncos	Freakz of Nature	romel	
9	14	Jaydon Blue	Turd Ferguson	mark	
10	1	Jayden Higgins	Turd Ferguson	mark	
10	2	Darnell Mooney	Freakz of Nature	romel	
10	3	Keenan Allen	Darth Rico	rich	
10	4	Austin Ekeler	Draven McQueen	tony	
10	5	Cam Skattebo	Minnesota Frostbite	brett-b	
10	6	Rashid Shaheed	Good But Not Great	tim	
10	7	Marvin Mims Jr.	What the Hali	bryan	
10	8	Jake Ferguson	AC X 2	andrew	
10	9	Dallas Goedert	Brady’s Bitch	heather	
10	10	Jerome Ford	K-Pop Rice Hunters	christian-k	
10	11	Brandon Aiyuk	Bijan Mustard	dylan	
10	12	Christian Kirk	Beantown	brett-p	
10	13	Lions	Brady's Bambino	nathan	
10	14	Brandon Aubrey	2013 Donkey Ass	leonard-j	
11	1	Eagles	2013 Donkey Ass	leonard-j	
11	2	Rachaad White	Brady's Bambino	nathan	
11	3	Najee Harris	Beantown	brett-p	
11	4	DeMario Douglas	Bijan Mustard	dylan	
11	5	Hollywood Brown	K-Pop Rice Hunters	christian-k	
11	6	Dylan Sampson	Brady’s Bitch	heather	
11	7	Rashod Bateman	AC X 2	andrew	
11	8	J.J. McCarthy	What the Hali	bryan	
11	9	Ollie Gordon II	Good But Not Great	tim	
11	10	C.J. Stroud	Minnesota Frostbite	brett-b	
11	11	Trevor Lawrence	Draven McQueen	tony	
11	12	Ravens	Darth Rico	rich	
11	13	Michael Penix Jr.	Freakz of Nature	romel	
11	14	Brenton Strange	Turd Ferguson	mark	
12	1	Vikings	Turd Ferguson	mark	
12	2	Luther Burden III	Freakz of Nature	romel	
12	3	Hunter Henry	Darth Rico	rich	
12	4	Trey Benson	Draven McQueen	tony	
12	5	Cedric Tillman	Minnesota Frostbite	brett-b	
12	6	Jalen Coker	Good But Not Great	tim	
12	7	Tre' Harris	What the Hali	bryan	
12	8	Tyjae Spears	AC X 2	andrew	
12	9	Joshua Palmer	Brady’s Bitch	heather	
12	10	Jonnu Smith	K-Pop Rice Hunters	christian-k	
12	11	Cam Ward	Bijan Mustard	dylan	
12	12	Matthew Stafford	Beantown	brett-p	
12	13	Zach Ertz	Brady's Bambino	nathan	
12	14	Bryce Young	2013 Donkey Ass	leonard-j	
13	1	Chig Okonkwo	2013 Donkey Ass	leonard-j	
13	2	Rico Dowdle	Brady's Bambino	nathan	
13	3	Steelers	Beantown	brett-p	
13	4	Theo Johnson	Bijan Mustard	dylan	
13	5	Harrison Butker	K-Pop Rice Hunters	christian-k	
13	6	Ray Davis	Brady’s Bitch	heather	
13	7	Geno Smith	AC X 2	andrew	
13	8	Bills	What the Hali	bryan	
13	9	Quinshon Judkins	Good But Not Great	tim	
13	10	Tyler Allgeier	Minnesota Frostbite	brett-b	
13	11	Ja'Tavion Sanders	Draven McQueen	tony	
13	12	Ka'imi Fairbairn	Darth Rico	rich	
13	13	Wan'Dale Robinson	Freakz of Nature	romel	
13	14	Cameron Dicker	Turd Ferguson	mark	
14	1	Adam Thielen	Turd Ferguson	mark	
14	2	Jake Bates	Freakz of Nature	romel	
14	3	Kareem Hunt	Darth Rico	rich	
14	4	Mason Taylor	Draven McQueen	tony	
14	5	Romeo Doubs	Minnesota Frostbite	brett-b	
14	6	Texans	Good But Not Great	tim	
14	7	Chris Boswell	What the Hali	bryan	
14	8	Chiefs	AC X 2	andrew	
14	9	Chargers	Brady’s Bitch	heather	
14	10	Packers	K-Pop Rice Hunters	christian-k	
14	11	Jets	Bijan Mustard	dylan	
14	12	Devin Singletary	Beantown	brett-p	
14	13	Evan McPherson	Brady's Bambino	nathan	
14	14	Kyle Williams	2013 Donkey Ass	leonard-j	
15	1	Tua Tagovailoa	2013 Donkey Ass	leonard-j	
15	2	Aaron Rodgers	Brady's Bambino	nathan	
15	3	Wil Lutz	Beantown	brett-p	
15	4	Chase McLaughlin	Bijan Mustard	dylan	
15	5	Blake Corum	K-Pop Rice Hunters	christian-k	
15	6	Jason Sanders	Brady’s Bitch	heather	
15	7	Jake Elliott	AC X 2	andrew	
15	8	Xavier Legette	What the Hali	bryan	
15	9	Kyle Monangai	Good But Not Great	tim	
15	10	Seahawks	Minnesota Frostbite	brett-b	
15	11	Rams	Draven McQueen	tony	
15	12	Darren Waller	Darth Rico	rich	
15	13	Will Shipley	Freakz of Nature	romel	
15	14	Jaylin Noel	Turd Ferguson	mark	
