ROUND	PICK	PLAYER	TEAM	OWNER	KEEPER
7	9	Frank Gore	Krispy Kareem Donuts	bryan	
7	10	Jonathan Stewart	RamBamTYCam	heather	
7	11	C.J. Prosise	Shark Porn	alex	
7	12	Derek Carr	Beantown Beatdown	brett-p	
7	13	James White	Good But Not Great	tim	
7	14	Matthew Stafford	AC X 2	andrew	
8	1	John Brown	AC X 2	andrew	
8	2	Ameer Abdullah	Good But Not Great	tim	Y
8	3	Tom Brady	Beantown Beatdown	brett-p	Y
8	4	Marcus Mariota	Shark Porn	alex	Y
8	5	Jordan Howard	RamBamTYCam	heather	Y
8	6	Terrelle Pryor Sr.	Krispy Kareem Donuts	bryan	Y
8	7	Matt Ryan	2013 Donkey Ass	leonard-j	Y
8	8	Mike Gillislee	Samurai Dak	christian-k	Y
8	9	Ty Montgomery II	Cleveland Steamers	mitchell	Y
8	10	Jay Ajayi	Minnesota Frostbite	brett-b	Y
8	11	Jamison Crowder	Draven McQueen	tony	Y
8	12	Ben Roethlisberger	Silence Of The Cams	rich	Y
8	13	LeGarrette Blount	Tim's Passion Bucket	adam-r	
8	14	Tyreek Hill	Fuck Dean Spanos	mark	Y
9	1	Mike Wallace	Fuck Dean Spanos	mark	
9	2	Zay Jones	Tim's Passion Bucket	adam-r	
9	3	Rishard Matthews	Silence Of The Cams	rich	
9	4	Andy Dalton	Draven McQueen	tony	
9	5	Jeremy Maclin	Minnesota Frostbite	brett-b	
9	6	Adam Thielen	Cleveland Steamers	mitchell	
9	7	Austin Hooper	Samurai Dak	christian-k	
9	8	Ted Ginn Jr.	2013 Donkey Ass	leonard-j	
9	9	Eli Manning	Krispy Kareem Donuts	bryan	
9	10	Kenny Britt	RamBamTYCam	heather	
9	11	Jared Cook	Shark Porn	alex	
9	12	Matt Forte	Beantown Beatdown	brett-p	
9	13	Carson Palmer	Good But Not Great	tim	
9	14	Darren McFadden	AC X 2	andrew	
10	1	Marvin Jones Jr.	AC X 2	andrew	
10	2	Donte Moncrief	Good But Not Great	tim	
10	3	Broncos	Beantown Beatdown	brett-p	
10	4	Alvin Kamara	Shark Porn	alex	
10	5	Seahawks	RamBamTYCam	heather	
10	6	Jamaal Williams	Krispy Kareem Donuts	bryan	
10	7	Danny Amendola	2013 Donkey Ass	leonard-j	
10	8	Robbie Chosen	Samurai Dak	christian-k	
10	9	Samaje Perine	Cleveland Steamers	mitchell	
10	10	Texans	Minnesota Frostbite	brett-b	
10	11	Darren Sproles	Draven McQueen	tony	
10	12	Eric Ebron	Silence Of The Cams	rich	
10	13	Patriots	Tim's Passion Bucket	adam-r	
10	14	Cooper Kupp	Fuck Dean Spanos	mark	
11	1	Chiefs	Fuck Dean Spanos	mark	
11	2	Latavius Murray	Tim's Passion Bucket	adam-r	
11	3	Chris Thompson	Silence Of The Cams	rich	
11	4	Kevin White	Draven McQueen	tony	
11	5	Jordan Matthews	Minnesota Frostbite	brett-b	
11	6	Dwayne Allen	Cleveland Steamers	mitchell	
11	7	Jeremy Hill	Samurai Dak	christian-k	
11	8	Cole Beasley	2013 Donkey Ass	leonard-j	
11	9	Carson Wentz	Krispy Kareem Donuts	bryan	
11	10	C.J. Fiedorowicz	RamBamTYCam	heather	
11	11	Kenny Golladay	Shark Porn	alex	
11	12	Jamaal Charles	Beantown Beatdown	brett-p	
11	13	Jacquizz Rodgers	Good But Not Great	tim	
11	14	Stephen Gostkowski	AC X 2	andrew	
12	1	Vikings	AC X 2	andrew	
12	2	Kyle Juszczyk	Good But Not Great	tim	
12	3	Robert Woods	Beantown Beatdown	brett-p	
12	4	Taylor Gabriel	Shark Porn	alex	
12	5	Rex Burkhead	RamBamTYCam	heather	
12	6	Cardinals	Krispy Kareem Donuts	bryan	
12	7	Breshad Perriman	2013 Donkey Ass	leonard-j	
12	8	Justin Tucker	Samurai Dak	christian-k	
12	9	James Conner	Cleveland Steamers	mitchell	
12	10	Jay Cutler	Minnesota Frostbite	brett-b	
12	11	Tyrod Taylor	Draven McQueen	tony	
12	12	Steelers	Silence Of The Cams	rich	
12	13	Dan Bailey	Tim's Passion Bucket	adam-r	
12	14	Matt Bryant	Fuck Dean Spanos	mark	
13	1	Kenny Stills	Fuck Dean Spanos	mark	
13	2	Devin Funchess	Tim's Passion Bucket	adam-r	
13	3	Torrey Smith	Silence Of The Cams	rich	
13	4	Jason Witten	Draven McQueen	tony	
13	5	Julius Thomas	Minnesota Frostbite	brett-b	
13	6	O.J. Howard	Cleveland Steamers	mitchell	
13	7	Kendall Wright	Samurai Dak	christian-k	
13	8	Falcons	2013 Donkey Ass	leonard-j	
13	9	Chris Carson	Krispy Kareem Donuts	bryan	
13	10	Mason Crosby	RamBamTYCam	heather	
13	11	J.J. Nelson	Shark Porn	alex	
13	12	Sebastian Janikowski	Beantown Beatdown	brett-p	
13	13	Sam Bradford	Good But Not Great	tim	
13	14	Joe Williams	AC X 2	andrew	
14	1	Marqise Lee	AC X 2	andrew	
14	2	DeAndre Washington	Good But Not Great	tim	
14	3	Coby Fleener	Beantown Beatdown	brett-p	
14	4	Giovani Bernard	Shark Porn	alex	
14	5	Joe Flacco	RamBamTYCam	heather	
14	6	Blair Walsh	Krispy Kareem Donuts	bryan	
14	7	Robert Turbin	2013 Donkey Ass	leonard-j	
14	8	Raiders	Samurai Dak	christian-k	
14	9	Browns	Cleveland Steamers	mitchell	
14	10	D'Onta Foreman	Minnesota Frostbite	brett-b	
14	11	Jaguars	Draven McQueen	tony	
14	12	Adam Vinatieri	Silence Of The Cams	rich	
14	13	John Ross	Tim's Passion Bucket	adam-r	
14	14	Sterling Shepard	Fuck Dean Spanos	mark	
15	1	DeShone Kizer	Fuck Dean Spanos	mark	
15	2	Shane Vereen	Tim's Passion Bucket	adam-r	
15	3	Terrance Williams	Silence Of The Cams	rich	
15	4	Wil Lutz	Draven McQueen	tony	
15	5	Evan Engram	Minnesota Frostbite	brett-b	
15	6	Ryan Succop	Cleveland Steamers	mitchell	
15	7	Curtis Samuel	Samurai Dak	christian-k	
15	8	Chris Boswell	2013 Donkey Ass	leonard-j	
15	9	Antonio Gates	Krispy Kareem Donuts	bryan	
15	10	Josh Doctson	RamBamTYCam	heather	
15	11	Buccaneers	Shark Porn	alex	
15	12	Will Fuller V	Beantown Beatdown	brett-p	
15	13	Cameron Brate	Good But Not Great	tim	
15	14	Vance McDonald	AC X 2	andrew	
