ROUND	PICK	PLAYER	TEAM	OWNER	KEEPER
10	8	Bears	ENTER THE WOOPOUND	fabio	
10	9	Justin Jefferson	The YoungHoes	dylan	
10	10	Damien Harris	Freakz of Nature	romel	
10	11	Justin Jackson	Toyota Kamara	christian-k	
10	12	Preston Williams	The Golladay Inn	bryan	
10	13	Ben Roethlisberger	Fuck Dean Spanos	mark	
10	14	Austin Hooper	Beantown	brett-p	
11	1	Mike Williams	Beantown	brett-p	
11	2	Mike Gesicki	Fuck Dean Spanos	mark	
11	3	Chiefs	The Golladay Inn	bryan	
11	4	Greg Zuerlein	Toyota Kamara	christian-k	
11	5	Mecole Hardman Jr.	Freakz of Nature	romel	
11	6	Golden Tate	The YoungHoes	dylan	
11	7	Wil Lutz	ENTER THE WOOPOUND	fabio	
11	8	Matt Prater	Brady’s Bitch	heather	
11	9	Allen Lazard	Deshaun of the Dead	rich	
11	10	Cam Newton	Draven McQueen	tony	
11	11	Van Jefferson	2013 Donkey Ass	leonard-j	
11	12	Tony Pollard	AC X 2	andrew	
11	13	Jared Goff	Minnesota Frostbite	brett-b	
11	14	T.J. Hockenson	Good But Not Great	tim	
12	1	Chris Herndon	Good But Not Great	tim	
12	2	Curtis Samuel	Minnesota Frostbite	brett-b	
12	3	Blake Jarwin	AC X 2	andrew	
12	4	Joshua Kelley	2013 Donkey Ass	leonard-j	
12	5	Ke'Shawn Vaughn	Draven McQueen	tony	
12	6	Tyler Eifert	Deshaun of the Dead	rich	
12	7	James Washington	Brady’s Bitch	heather	
12	8	Chris Thompson	ENTER THE WOOPOUND	fabio	
12	9	Jonnu Smith	The YoungHoes	dylan	
12	10	Henry Ruggs III	Freakz of Nature	romel	
12	11	Baker Mayfield	Toyota Kamara	christian-k	
12	12	Dallas Goedert	The Golladay Inn	bryan	
12	13	Nyheim Miller-Hines	Fuck Dean Spanos	mark	
12	14	Vikings	Beantown	brett-p	
13	1	Jimmy Garoppolo	Beantown	brett-p	
13	2	Carlos Hyde	Fuck Dean Spanos	mark	
13	3	Drew Lock	The Golladay Inn	bryan	
13	4	Michael Pittman Jr.	Toyota Kamara	christian-k	
13	5	Robbie Gould	Freakz of Nature	romel	
13	6	Brandon Aiyuk	The YoungHoes	dylan	
13	7	Hunter Renfrow	ENTER THE WOOPOUND	fabio	
13	8	Sammy Watkins	Brady’s Bitch	heather	
13	9	Ryan Tannehill	Deshaun of the Dead	rich	
13	10	Eagles	Draven McQueen	tony	
13	11	Matt Gay	2013 Donkey Ass	leonard-j	
13	12	Saints	AC X 2	andrew	
13	13	Jack Doyle	Minnesota Frostbite	brett-b	
13	14	Parris Campbell	Good But Not Great	tim	
14	1	Laviska Shenault Jr.	Good But Not Great	tim	
14	2	Rams	Minnesota Frostbite	brett-b	
14	3	Breshad Perriman	AC X 2	andrew	
14	4	Kirk Cousins	2013 Donkey Ass	leonard-j	
14	5	Ka'imi Fairbairn	Draven McQueen	tony	
14	6	Randall Cobb	Deshaun of the Dead	rich	
14	7	Philip Rivers	Brady’s Bitch	heather	
14	8	Chargers	ENTER THE WOOPOUND	fabio	
14	9	Zane Gonzalez	The YoungHoes	dylan	
14	10	Gardner Minshew II	Freakz of Nature	romel	
14	11	Ito Smith	Toyota Kamara	christian-k	
14	12	Darrel Williams	The Golladay Inn	bryan	
14	13	Robbie Chosen	Fuck Dean Spanos	mark	
14	14	O.J. Howard	Beantown	brett-p	
15	1	Mason Crosby	Beantown	brett-p	
15	2	Broncos	Fuck Dean Spanos	mark	
15	3	Younghoe Koo	The Golladay Inn	bryan	
15	4	Seahawks	Toyota Kamara	christian-k	
15	5	Ian Thomas	Freakz of Nature	romel	
15	6	Cowboys	The YoungHoes	dylan	
15	7	Derek Carr	ENTER THE WOOPOUND	fabio	
15	8	Irv Smith Jr.	Brady’s Bitch	heather	
15	9	Jason Myers	Deshaun of the Dead	rich	
15	10	Jamaal Williams	Draven McQueen	tony	
15	11	Colts	2013 Donkey Ass	leonard-j	
15	12	Devonta Freeman	AC X 2	andrew	
15	13	N'Keal Harry	Minnesota Frostbite	brett-b	
15	14	Browns	Good But Not Great	tim	
