ROUND	PICK	PLAYER	TEAM	OWNER	KEEPER
5	2	Mike Williams	Freakz of Nature	romel	
5	3	Hunter Henry	Krispy Kareem Donuts	bryan	
5	4	Alshon Jeffery	AC X 2	andrew	
5	5	Latavius Murray	2013 Donkey Ass	leonard-j	
5	6	Kenyan Drake	Goff Balls	melissa	
5	7	Cam Newton	Brady’s Bitch	heather	
5	8	Will Fuller V	Don't F#$k W/Mr.Zero	rich	
5	9	Matt Ryan	Gurley’s Cookin	christian-k	
5	10	Tarik Cohen	Draven McQueen	tony	
5	11	A.J. Green	Beantown	brett-p	
5	12	Evan Engram	Shark Porn	alex	
5	13	Corey Davis	Minnesota Frostbite	brett-b	
5	14	Curtis Samuel	DJ Chark Doo Doo Doo	mark	
6	1	Courtland Sutton	DJ Chark Doo Doo Doo	mark	
6	2	Lamar Miller	Minnesota Frostbite	brett-b	
6	3	Miles Sanders	Shark Porn	alex	
6	4	Eric Ebron	Beantown	brett-p	
6	5	Sammy Watkins	Draven McQueen	tony	
6	6	Derrius Guice	Gurley’s Cookin	christian-k	
6	7	Austin Ekeler	Don't F#$k W/Mr.Zero	rich	
6	8	Dede Westbrook	Brady’s Bitch	heather	
6	9	Jared Cook	Goff Balls	melissa	
6	10	Royce Freeman	2013 Donkey Ass	leonard-j	
6	11	Russell Wilson	AC X 2	andrew	
6	12	Marvin Jones Jr.	Krispy Kareem Donuts	bryan	
6	13	Rashaad Penny	Freakz of Nature	romel	
6	14	Larry Fitzgerald	Good But Not Great	tim	
7	1	Ronald Jones	Good But Not Great	tim	
7	2	Jordan Howard	Freakz of Nature	romel	
7	3	Carson Wentz	Krispy Kareem Donuts	bryan	
7	4	David Njoku	AC X 2	andrew	
7	5	Mark Andrews	2013 Donkey Ass	leonard-j	
7	6	Jared Goff	Goff Balls	melissa	
7	7	Sterling Shepard	Brady’s Bitch	heather	
7	8	Keke Coutee	Don't F#$k W/Mr.Zero	rich	
7	9	Greg Olsen	Gurley’s Cookin	christian-k	
7	10	Drew Brees	Draven McQueen	tony	
7	11	Matt Breida	Beantown	brett-p	
7	12	Kyler Murray	Shark Porn	alex	
7	13	Anthony Miller	Minnesota Frostbite	brett-b	
7	14	Geronimo Allison	DJ Chark Doo Doo Doo	mark	
8	1	James Conner	DJ Chark Doo Doo Doo	mark	Y
8	2	George Kittle	Minnesota Frostbite	brett-b	Y
8	3	Devin Funchess	Shark Porn	alex	
8	4	Marlon Mack	Beantown	brett-p	Y
8	5	Phillip Lindsay	Draven McQueen	tony	Y
8	6	Tyler Boyd	Gurley’s Cookin	christian-k	Y
8	7	Vance McDonald	Don't F#$k W/Mr.Zero	rich	Y
8	8	Bears	Brady’s Bitch	heather	
8	9	Emmanuel Sanders	Goff Balls	melissa	
8	10	Nick Chubb	2013 Donkey Ass	leonard-j	Y
8	11	Rams	AC X 2	andrew	
8	12	Aaron Jones Sr.	Krispy Kareem Donuts	bryan	Y
8	13	Baker Mayfield	Freakz of Nature	romel	Y
8	14	Patrick Mahomes	Good But Not Great	tim	Y
9	1	Jordan Reed	Good But Not Great	tim	
9	2	Donte Moncrief	Freakz of Nature	romel	
9	3	Jaylen Samuels	Krispy Kareem Donuts	bryan	
9	4	Greg Zuerlein	AC X 2	andrew	
9	5	Jimmy Garoppolo	2013 Donkey Ass	leonard-j	
9	6	DeSean Jackson	Goff Balls	melissa	
9	7	Marquez Valdes-Scantling	Brady’s Bitch	heather	
9	8	Kirk Cousins	Don't F#$k W/Mr.Zero	rich	
9	9	N'Keal Harry	Gurley’s Cookin	christian-k	
9	10	Golden Tate	Draven McQueen	tony	
9	11	Jameis Winston	Beantown	brett-p	
9	12	Austin Hooper	Shark Porn	alex	
9	13	Ben Roethlisberger	Minnesota Frostbite	brett-b	
9	14	Trey Burton	DJ Chark Doo Doo Doo	mark	
10	1	James Washington	DJ Chark Doo Doo Doo	mark	
10	2	Dion Lewis	Minnesota Frostbite	brett-b	
10	3	Michael Gallup	Shark Porn	alex	
10	4	Jamison Crowder	Beantown	brett-p	
10	5	Dak Prescott	Draven McQueen	tony	
10	6	DK Metcalf	Gurley’s Cookin	christian-k	
10	7	Mohamed Sanu	Don't F#$k W/Mr.Zero	rich	
10	8	Tom Brady	Brady’s Bitch	heather	
10	9	Nyheim Miller-Hines	Goff Balls	melissa	
10	10	Damien Harris	2013 Donkey Ass	leonard-j	
10	11	Lamar Jackson	AC X 2	andrew	
10	12	Devin Singletary	Krispy Kareem Donuts	bryan	
10	13	Kalen Ballage	Freakz of Nature	romel	
10	14	Peyton Barber	Good But Not Great	tim	
11	1	Delanie Walker	Good But Not Great	tim	
11	2	Justin Jackson	Freakz of Nature	romel	
11	3	Kareem Hunt	Krispy Kareem Donuts	bryan	
11	4	Kyle Rudolph	AC X 2	andrew	
11	5	Adrian Peterson	2013 Donkey Ass	leonard-j	
11	6	Ravens	Goff Balls	melissa	
11	7	LeSean McCoy	Brady’s Bitch	heather	
11	8	Patriots	Don't F#$k W/Mr.Zero	rich	
11	9	Duke Johnson	Gurley’s Cookin	christian-k	
11	10	Jerick McKinnon	Draven McQueen	tony	
11	11	Jimmy Graham	Beantown	brett-p	
11	12	Ito Smith	Shark Porn	alex	
11	13	Carlos Hyde	Minnesota Frostbite	brett-b	
11	14	Jaguars	DJ Chark Doo Doo Doo	mark	
12	1	Darwin Thompson	DJ Chark Doo Doo Doo	mark	
12	2	Mitchell Trubisky	Minnesota Frostbite	brett-b	
12	3	DaeSean Hamilton	Shark Porn	alex	
12	4	Chargers	Beantown	brett-p	
12	5	John Brown	Draven McQueen	tony	
12	6	Quincy Enunwa	Gurley’s Cookin	christian-k	
12	7	Tyrell Williams	Don't F#$k W/Mr.Zero	rich	
12	8	Hollywood Brown	Brady’s Bitch	heather	
12	9	Harrison Butker	Goff Balls	melissa	
12	10	Justin Tucker	2013 Donkey Ass	leonard-j	
12	11	Jack Doyle	AC X 2	andrew	
12	12	Philip Rivers	Krispy Kareem Donuts	bryan	
12	13	Justice Hill	Freakz of Nature	romel	
12	14	Vikings	Good But Not Great	tim	
13	1	Josh Allen	Good But Not Great	tim	
13	2	Browns	Freakz of Nature	romel	
13	3	Wil Lutz	Krispy Kareem Donuts	bryan	
13	4	Marquise Goodwin	AC X 2	andrew	
13	5	Sam Darnold	2013 Donkey Ass	leonard-j	
13	6	Dallas Goedert	Goff Balls	melissa	
13	7	Stephen Gostkowski	Brady’s Bitch	heather	
13	8	Mike Davis	Don't F#$k W/Mr.Zero	rich	
13	9	Antonio Callaway	Gurley’s Cookin	christian-k	
13	10	Kenny Stills	Draven McQueen	tony	
13	11	DeVante Parker	Beantown	brett-p	
13	12	Giovani Bernard	Shark Porn	alex	
13	13	Albert Wilson	Minnesota Frostbite	brett-b	
13	14	Ka'imi Fairbairn	DJ Chark Doo Doo Doo	mark	
14	1	Nick Foles	DJ Chark Doo Doo Doo	mark	
14	2	T.J. Hockenson	Minnesota Frostbite	brett-b	
14	3	Chris Thompson	Shark Porn	alex	
14	4	Robbie Gould	Beantown	brett-p	
14	5	Parris Campbell	Draven McQueen	tony	
14	6	Michael Badgley	Gurley’s Cookin	christian-k	
14	7	Mason Crosby	Don't F#$k W/Mr.Zero	rich	
14	8	Adam Humphries	Brady’s Bitch	heather	
14	9	Matthew Stafford	Goff Balls	melissa	
14	10	Texans	2013 Donkey Ass	leonard-j	
14	11	Jamaal Williams	AC X 2	andrew	
14	12	Alexander Mattison	Krispy Kareem Donuts	bryan	
14	13	Zay Jones	Freakz of Nature	romel	
14	14	Deebo Samuel Sr.	Good But Not Great	tim	
15	1	Josh Gordon	Good But Not Great	tim	
15	2	Adam Vinatieri	Freakz of Nature	romel	
15	3	Broncos	Krispy Kareem Donuts	bryan	
15	4	Saints	AC X 2	andrew	
15	5	KeeSean Johnson	2013 Donkey Ass	leonard-j	
15	6	Bills	Goff Balls	melissa	
15	7	C.J. Anderson	Brady’s Bitch	heather	
15	8	Jalen Richard	Don't F#$k W/Mr.Zero	rich	
15	9	Seahawks	Gurley’s Cookin	christian-k	
15	10	Chris Herndon	Draven McQueen	tony	
15	11	Nelson Agholor	Beantown	brett-p	
15	12	Tre'Quan Smith	Shark Porn	alex	
15	13	Malcolm Brown	Minnesota Frostbite	brett-b	
15	14	Noah Fant	DJ Chark Doo Doo Doo	mark	
